,X,Y,Z,formation
113,541428.339,7459826.1110000005,420.0,A_FOp_bs
114,603028.0,7480464.122,643.0,A_FOo_bbo
115,601026.6209,7480659.42,635.0,A_FOo_bbo
116,599600.1491,7480285.438999999,628.0,A_FOo_bbo
117,597052.8302,7480094.951,639.0,A_FOo_bbo
118,595955.8686,7479825.549,631.0,A_FOo_bbo
119,596175.6647,7479769.123,631.0,A_FOo_bbo
120,595325.9391,7479611.457,642.0,A_FOo_bbo
121,592433.3892,7479006.95,648.0,A_FOo_bbo
122,591270.7397,7477905.899,664.0,A_FOo_bbo
123,592864.1296,7477317.919,674.0,A_FOo_bbo
124,593300.7373,7476857.408,692.0,A_FOo_bbo
125,593044.6403,7476489.401000001,800.0,A_FOo_bbo
126,590978.2898,7476570.859,675.0,A_FOo_bbo
127,590161.6205,7476021.332,685.0,A_FOo_bbo
128,589224.0094,7475434.301,666.0,A_FOo_bbo
129,588168.8889,7474205.27,714.0,A_FOo_bbo
130,590161.9901,7472094.27,670.0,A_FOo_bbo
131,591701.2782,7470819.279,664.0,A_FOo_bbo
132,591844.2087,7470124.778,703.0,A_FOo_bbo
133,591837.8521,7470118.282000001,703.0,A_FOo_bbo
134,595330.8013,7475216.41,648.0,A_FOh_xs_f
135,593942.3317,7475357.881,698.0,A_FOh_xs_f
136,592094.3803,7474572.33,629.0,A_FOh_xs_f
137,592149.0147,7472863.874,691.0,A_FOh_xs_f
138,591554.3114,7472675.259,642.0,A_FOh_xs_f
139,592006.4879,7472141.292,642.0,A_FOh_xs_f
140,594005.939,7471335.302,695.0,A_FOh_xs_f
141,595104.6989,7471048.811000001,658.0,A_FOh_xs_f
142,596403.9292,7470106.308999999,627.0,A_FOh_xs_f
143,597123.9973,7469726.5,628.0,A_FOh_xs_f
144,597786.7742,7469627.607000001,636.0,A_FOh_xs_f
145,598091.7389,7469301.808999999,625.0,A_FOh_xs_f
146,597373.1081,7467962.79,651.0,A_FOh_xs_f
147,598324.6792,7467467.31,643.0,A_FOh_xs_f
148,600784.5119,7467192.831,625.0,A_FOh_xs_f
149,602538.561,7466941.859,611.0,A_FOh_xs_f
150,603028.0,7474464.745,644.0,A_FOh_xs_f
151,600440.6685,7475131.93,662.0,A_FOh_xs_f
152,599690.7802,7475237.921,638.0,A_FOh_xs_f
153,598240.0302,7475073.909,647.0,A_FOh_xs_f
154,595811.4937,7475245.881,649.0,A_FOh_xs_f
155,603028.0,7479884.981000001,627.0,A_FOh_xs_f
156,600715.961,7479534.981000001,625.0,A_FOh_xs_f
157,598400.7468,7479285.607999999,622.0,A_FOh_xs_f
158,598520.9687,7479224.738,622.0,A_FOh_xs_f
159,597757.5014,7479155.978999999,630.0,A_FOh_xs_f
160,595744.9897,7478664.48,634.0,A_FOh_xs_f
161,595438.8213,7478462.48,632.0,A_FOh_xs_f
162,595713.082,7477295.949,642.0,A_FOh_xs_f
163,598819.7987,7476655.461,715.0,A_FOh_xs_f
164,601642.2916,7476417.492000001,628.0,A_FOh_xs_f
165,602803.7208,7476247.991,605.0,A_FOh_xs_f
166,571817.5281,7470904.693,773.0,A_HAd_kd
167,572116.9507,7468822.88,681.0,A_HAd_kd
168,570424.189,7467341.87,660.0,A_HAd_kd
169,568652.1282,7465860.26,594.0,A_HAd_kd
170,564499.5716,7466653.34,589.0,A_HAd_kd
171,562304.2908,7468134.532000001,570.0,A_HAd_kd
172,561325.6709,7468822.05,592.0,A_HAd_kd
173,560611.55,7470303.831,661.0,A_HAd_kd
174,561484.3692,7472763.782000001,615.0,A_HAd_kd
175,561881.1495,7474430.329,680.0,A_HAd_kd
176,560638.0706,7476334.832,758.0,A_HAd_kd
177,560426.4312,7478582.821,639.0,A_HAd_kd
178,558495.6913,7480910.312999999,645.0,A_HAd_kd
179,603028.0,7481171.036,646.0,A_FOp_bs
180,598789.718,7481059.918,646.0,A_FOp_bs
181,596116.5987,7480609.938999999,641.0,A_FOp_bs
182,595429.5808,7480530.941000001,635.0,A_FOp_bs
183,594667.1047,7480478.9629999995,653.0,A_FOp_bs
184,594726.692,7480385.081,653.0,A_FOp_bs
185,593038.9919,7480009.429,641.0,A_FOp_bs
186,587977.9494,7478184.342,678.0,A_FOp_bs
187,603028.0,7524192.027000001,722.0,A_HAS_xsl_ci
188,602128.6996,7524965.241,831.0,A_HAS_xsl_ci
189,601452.4777,7525866.251,704.0,A_HAS_xsl_ci
190,601364.8412,7526159.27,715.0,A_HAS_xsl_ci
191,601853.129,7527200.789,808.0,A_HAS_xsl_ci
192,602910.228,7527494.292,757.0,A_HAS_xsl_ci
193,572990.3131,7479476.766,689.0,A_HAm_cib
194,571868.0707,7479233.02,681.0,A_HAm_cib
195,570568.9005,7478839.501,698.0,A_HAm_cib
196,569906.07,7478543.992000001,679.0,A_HAm_cib
197,569724.2685,7477761.97,701.0,A_HAm_cib
198,570104.8689,7476219.45,714.0,A_HAm_cib
199,570007.8404,7476057.621,714.0,A_HAm_cib
