,X,Y,Z,formation
206,565469.9456924193,7478024.892156879,1013.0,A_HAS_xsl_ci
207,567088.2191382436,7476154.821319484,782.0,A_HAS_xsl_ci
208,568322.6523098586,7474872.385973739,794.0,A_HAS_xsl_ci
209,569104.6790440016,7474316.72807632,745.0,A_HAS_xsl_ci
210,570740.4605729497,7472976.425956123,931.0,A_HAS_xsl_ci
211,571267.7040747997,7472395.226997689,896.0,A_HAS_xsl_ci
212,571969.1336704019,7471475.700524581,790.0,A_HAS_xsl_ci
213,572057.0639829062,7471141.943692659,720.0,A_HAS_xsl_ci
214,573097.3711753503,7479900.859144033,680.0,A_HAd_kd
215,570952.6676671209,7479749.769232781,659.0,A_HAd_kd
216,569096.6838571234,7479235.628952844,661.0,A_HAd_kd
217,568338.3676478778,7479094.361620645,678.0,A_HAd_kd
218,568119.9445098487,7478908.194180294,672.0,A_HAd_kd
219,568107.0627046471,7478891.180858738,672.0,A_HAd_kd
220,568029.9249811457,7478731.964338532,672.0,A_HAd_kd
221,568369.6232951693,7477711.947988604,690.0,A_HAd_kd
222,568190.9078995122,7477102.893268242,713.0,A_HAd_kd
223,567850.6174182885,7476627.747499503,733.0,A_HAd_kd
224,569000.6359026887,7475620.116212402,736.0,A_HAd_kd
225,571411.6862764468,7473545.705558772,754.0,A_HAd_kd
226,572649.498848782,7472397.936720112,695.0,A_HAd_kd
227,572979.3204988682,7471663.265967457,697.0,A_HAd_kd
228,572514.347104235,7471132.2965422915,720.0,A_HAd_kd
229,572493.0626758124,7470914.153259188,720.0,A_HAd_kd
230,580329.515588958,7480672.958056517,754.0,A_HAm_cib
231,578678.5592633294,7480190.222623499,774.0,A_HAm_cib
232,577410.2701704291,7480213.95666253,741.0,A_HAm_cib
233,577000.5141252737,7480236.548673466,749.0,A_HAm_cib
234,575236.0551974333,7480284.278203445,722.0,A_HAm_cib
235,574231.2538722117,7480208.995280975,667.0,A_HAm_cib
236,573654.9788873513,7480131.17124114,672.0,A_HAm_cib
237,573403.1604780735,7481008.41798738,690.0,A_HAS_xsl_ci
238,571834.6018034766,7481227.26880334,664.0,A_HAS_xsl_ci
239,570378.1750247406,7481279.011075508,669.0,A_HAS_xsl_ci
240,569231.5359059802,7481361.005836102,772.0,A_HAS_xsl_ci
241,568169.8643109772,7480143.503817452,698.0,A_HAS_xsl_ci
242,567740.2889179874,7479515.86837536,755.0,A_HAS_xsl_ci
243,542216.2681264695,7462314.074893245,418.0,A_FOu_bbo
244,541170.8814630163,7462706.67610881,407.0,A_FOu_bbo
245,540500.0530007004,7462813.372787235,401.0,A_FOu_bbo
246,540091.1806037978,7462761.169113972,400.0,A_FOu_bbo
247,602683.4867981102,7482224.687612733,654.0,A_FOu_bbo
248,599544.8957938965,7482024.453290346,653.0,A_FOu_bbo
249,597298.6116755592,7482093.156157744,660.0,A_FOu_bbo
250,596164.5464142261,7481685.441866628,658.0,A_FOu_bbo
251,595371.6167934217,7481184.595586684,644.0,A_FOu_bbo
252,594760.839589937,7481075.785752486,652.0,A_FOu_bbo
253,594287.4702096508,7480986.710786126,654.0,A_FOu_bbo
254,594319.4179065588,7480894.659899826,654.0,A_FOu_bbo
255,591183.3698711907,7480075.859279176,658.0,A_FOu_bbo
256,589349.6170759719,7479501.316199939,665.0,A_FOu_bbo
257,587287.7558827692,7478932.365569722,689.0,A_FOu_bbo
258,585257.0231451989,7478307.558214718,694.0,A_FOu_bbo
259,553728.0925444087,7465562.824043913,503.0,A_FOu_bbo
260,554077.2754570395,7466597.907960447,490.0,A_FOu_bbo
261,554175.5397270165,7467255.910014324,489.0,A_FOu_bbo
262,554483.4981981735,7472281.0972395595,499.0,A_FOu_bbo
263,554508.980947056,7474823.776889922,496.0,A_FOu_bbo
264,554465.7464490548,7476151.936104041,504.0,A_FOu_bbo
265,554322.4704240701,7477736.434175117,495.0,A_FOu_bbo
266,554022.0377132631,7478674.482789195,504.0,A_FOu_bbo
267,552418.8245322619,7481119.05028045,507.0,A_FOu_bbo
268,550925.2098557896,7482559.247429889,500.0,A_FOu_bbo
269,549109.6527832368,7483375.153231046,521.0,A_FOu_bbo
270,546828.2485235735,7484390.868664349,546.0,A_FOu_bbo
271,544289.937031664,7485195.323203747,520.0,A_FOu_bbo
272,541379.9441982562,7485904.325285315,569.0,A_FOu_bbo
273,538746.669398748,7486504.451861496,548.0,A_FOu_bbo
274,536273.3673664568,7487140.787171791,499.0,A_FOu_bbo
275,533204.8425899921,7488584.184553027,500.0,A_FOu_bbo
276,530512.8633255666,7490960.593401539,544.0,A_FOu_bbo
277,528193.2663975693,7492065.637105244,464.0,A_FOu_bbo
278,530174.7032811551,7489544.950359919,462.0,A_FOu_bbo
279,528744.1710687549,7489988.713924151,466.0,A_FOu_bbo
280,527693.7674711423,7490013.307995096,484.0,A_FOu_bbo
281,526709.4687993905,7491731.627810354,459.0,A_FOu_bbo
282,526082.844147661,7491262.608743776,554.0,A_FOu_bbo
283,524273.0157573256,7490006.215256267,661.0,A_FOu_bbo
284,522508.53680604056,7489482.481529315,596.0,A_FOu_bbo
285,521302.3734235824,7489156.436608118,511.0,A_FOu_bbo
286,521237.2949081014,7489126.622112903,511.0,A_FOu_bbo
287,520601.5850310418,7489260.400296257,574.0,A_FOu_bbo
288,519985.6190253257,7488022.999831124,743.0,A_FOu_bbo
289,519971.80692344706,7488002.744147413,743.0,A_FOu_bbo
290,519965.5188625207,7487990.537585746,743.0,A_FOu_bbo
291,519228.5234409195,7486851.461128972,636.0,A_FOu_bbo
292,519204.769063489,7486817.456709767,636.0,A_FOu_bbo
293,519040.0819494535,7487022.810910802,636.0,A_FOu_bbo
294,518353.4346759094,7486245.244623455,825.0,A_FOu_bbo
295,517662.4121784237,7485927.941461117,706.0,A_FOu_bbo
296,517640.2691811899,7485906.844102315,706.0,A_FOu_bbo
297,517456.3567953341,7485995.801782277,706.0,A_FOu_bbo
298,516447.5829813478,7485352.196142697,634.0,A_FOu_bbo
299,516218.1931078881,7484685.2788549,756.0,A_FOu_bbo
300,515081.7848922293,7484244.458860377,596.0,A_FOu_bbo
301,513622.6328403796,7483824.907656615,507.0,A_FOu_bbo
302,512115.94735820574,7482546.927308965,481.0,A_FOu_bbo
303,511365.81876158854,7480791.866046323,449.0,A_FOu_bbo
304,511299.41944382834,7480044.605606377,412.0,A_FOu_bbo
305,511240.835817883,7479251.923477066,407.0,A_FOu_bbo
306,511305.51445748523,7478743.061883783,418.0,A_FOu_bbo
307,513250.2958253708,7475458.162501394,369.0,A_FOu_bbo
308,516160.24946316844,7472902.243185257,391.0,A_FOu_bbo
309,519604.7362654614,7470614.76775414,427.0,A_FOu_bbo
310,522260.55861529795,7468868.477262222,492.0,A_FOu_bbo
311,524848.5675515267,7467524.597480722,474.0,A_FOu_bbo
312,528122.6404005564,7465989.054913703,447.0,A_FOu_bbo
313,530907.2607301987,7465485.615789803,476.0,A_FOu_bbo
314,531577.4022064159,7465350.6307949275,463.0,A_FOu_bbo
315,535407.0320065994,7464680.752230932,438.0,A_FOu_bbo
316,537804.180512505,7464365.870707088,444.0,A_FOu_bbo
317,577718.4447084581,7509885.312242729,652.0,A_FOu_bbo
318,577444.8959015314,7510823.294289146,647.0,A_FOu_bbo
319,576889.7825160956,7511379.1064346945,649.0,A_FOu_bbo
320,576146.6238561067,7512630.058282258,641.0,A_FOu_bbo
321,575813.2692947772,7514074.937849024,637.0,A_FOu_bbo
322,575959.2168059635,7515667.600843001,632.0,A_FOu_bbo
323,576472.0727081952,7517317.954770306,627.0,A_FOu_bbo
324,577176.5679485545,7519427.808545693,623.0,A_FOu_bbo
325,576806.5391372354,7521494.225413143,616.0,A_FOu_bbo
326,575769.9934734217,7522213.542172246,617.0,A_FOu_bbo
327,574194.0367579389,7521978.77970031,614.0,A_FOu_bbo
328,572097.2196402338,7520872.415563689,615.0,A_FOu_bbo
329,569626.4520419937,7520219.321910335,615.0,A_FOu_bbo
330,568255.5771079786,7519257.690541331,615.0,A_FOu_bbo
331,567930.9943885555,7517980.361304672,616.0,A_FOu_bbo
332,567837.9274972512,7515919.959372825,623.0,A_FOu_bbo
333,566766.7024962935,7514280.825375195,626.0,A_FOu_bbo
334,566099.8741145328,7513307.80694536,632.0,A_FOu_bbo
335,565068.0974371198,7512309.112323049,634.0,A_FOu_bbo
336,564720.376412816,7510599.607581731,640.0,A_FOu_bbo
337,564922.0880926836,7509721.961659813,639.0,A_FOu_bbo
338,565433.1632507944,7509336.710875575,633.0,A_FOu_bbo
339,566045.9631728452,7509414.13615975,636.0,A_FOu_bbo
340,567057.5966144338,7509613.1117262915,644.0,A_FOu_bbo
341,568847.3707402933,7509843.616484465,646.0,A_FOu_bbo
342,571055.3277895717,7509766.671885257,656.0,A_FOu_bbo
343,572464.2431162036,7509684.078923194,637.0,A_FOu_bbo
344,573886.9381015624,7509690.081852184,640.0,A_FOu_bbo
345,576336.2204778527,7509120.692968703,650.0,A_FOu_bbo
346,577250.7882820872,7509146.979485986,652.0,A_FOu_bbo
347,577661.3182974326,7509561.8437155,654.0,A_FOu_bbo
348,577703.5338829117,7509722.693632692,652.0,A_FOu_bbo
349,580141.3785025169,7481222.504160482,699.0,A_HAd_kd
350,579922.4712069678,7481178.418965874,699.0,A_HAd_kd
351,578957.0088122576,7481001.935704229,881.0,A_HAd_kd
352,579165.0590042756,7489533.698542518,710.0,A_HAd_kd
353,579535.3127253972,7488274.569595682,745.0,A_HAd_kd
354,580086.652718353,7487336.831795823,734.0,A_HAd_kd
355,580607.4123687932,7486655.499868013,727.0,A_HAd_kd
356,580040.5040001012,7485527.863215863,749.0,A_HAd_kd
357,580073.0098586314,7484514.38179844,753.0,A_HAd_kd
358,579892.5263097587,7484426.957338801,753.0,A_HAd_kd
359,581027.3542154318,7483679.0837172745,767.0,A_HAd_kd
360,582930.7120098355,7482908.445977781,760.0,A_HAd_kd
361,582723.8499217121,7482016.261263438,770.0,A_HAd_kd
362,581888.293174266,7481328.790968324,816.0,A_HAd_kd
363,581381.5936682582,7480884.02700752,857.0,A_HAd_kd
364,576438.2687756503,7497121.238016993,735.0,A_FOj_xs_b
365,577759.3054868067,7496545.5623599,721.0,A_FOj_xs_b
366,579340.9117594317,7495630.207782345,739.0,A_FOj_xs_b
367,581615.6191683123,7494738.057436646,858.0,A_FOj_xs_b
368,582780.2117845684,7492700.400735576,864.0,A_FOj_xs_b
369,583611.7614610958,7492243.646826347,779.0,A_FOj_xs_b
370,584275.4147669359,7491461.061461896,893.0,A_FOj_xs_b
371,586144.9489053519,7491326.157934379,803.0,A_FOj_xs_b
372,588291.0623103996,7490060.944103136,904.0,A_FOj_xs_b
373,589058.0237969605,7488177.020156557,834.0,A_FOj_xs_b
374,590446.6298199471,7487579.307113548,728.0,A_FOj_xs_b
375,591503.3801108638,7488812.934096962,773.0,A_FOj_xs_b
376,592067.3234666032,7488827.150667456,789.0,A_FOj_xs_b
377,592898.1482453258,7487416.430873803,786.0,A_FOj_xs_b
378,594597.1637371453,7487404.034092619,720.0,A_FOj_xs_b
379,593739.2766554058,7488732.045237196,772.0,A_FOj_xs_b
380,593376.4635339491,7489673.834101582,867.0,A_FOj_xs_b
381,593491.5026014502,7489798.287188779,867.0,A_FOj_xs_b
382,594468.7319588392,7491004.4167978475,1067.0,A_FOj_xs_b
383,596152.0603566313,7490337.086232893,1046.0,A_FOj_xs_b
384,595900.7585303842,7488879.757156087,746.0,A_FOj_xs_b
385,595417.6702450952,7488804.519955063,865.0,A_FOj_xs_b
386,595887.0328661642,7487327.209843358,863.0,A_FOj_xs_b
387,596350.7881678661,7486029.735049797,705.0,A_FOj_xs_b
388,596958.5297520274,7486886.931979453,713.0,A_FOj_xs_b
389,596942.9080368535,7488448.519868906,744.0,A_FOj_xs_b
390,598152.0719737981,7489664.952637058,842.0,A_FOj_xs_b
391,599850.0912191742,7489957.526773681,1074.0,A_FOj_xs_b
392,602500.9827154444,7489220.513024719,961.0,A_FOj_xs_b
393,603028.686236959,7488880.202698285,1031.0,A_FOj_xs_b
394,603028.7271751659,7486823.14758305,807.0,A_FOj_xs_b
395,602101.7115388862,7487114.867859809,843.0,A_FOj_xs_b
396,601635.4899359522,7488001.100684938,743.0,A_FOj_xs_b
397,601004.2043324288,7487496.725527975,825.0,A_FOj_xs_b
398,601097.1900549772,7485160.191195173,836.0,A_FOj_xs_b
399,600397.6303884806,7484725.090346694,793.0,A_FOj_xs_b
400,565722.1402469574,7498944.517811214,619.0,A_FOj_xs_b
401,568286.1455682357,7498748.835544969,696.0,A_FOj_xs_b
402,569718.8458718397,7499403.876404739,848.0,A_FOj_xs_b
403,570038.0666579555,7499458.4045420075,848.0,A_FOj_xs_b
404,571747.005740581,7499363.823351962,856.0,A_FOj_xs_b
405,573883.4480280847,7499190.887373009,823.0,A_FOj_xs_b
406,574378.2334341345,7498847.091663516,823.0,A_FOj_xs_b
407,603027.9635130551,7500763.218518151,709.0,A_HAm_cib
408,602004.0176397429,7501504.256404765,750.0,A_HAm_cib
409,600242.9084999192,7502269.388325853,727.0,A_HAm_cib
410,599470.8122609532,7502836.436770536,712.0,A_HAm_cib
411,599115.0357391435,7503563.315937808,706.0,A_HAm_cib
412,598912.8059231845,7504613.555530716,714.0,A_HAm_cib
413,598123.6213328645,7505447.912459426,732.0,A_HAm_cib
414,597530.7685792036,7506173.244716434,708.0,A_HAm_cib
415,596711.1253790058,7506526.360140135,694.0,A_HAm_cib
416,596397.3122973281,7506927.136683791,702.0,A_HAm_cib
417,596510.1011205552,7507289.409926848,713.0,A_HAm_cib
418,597158.9795318708,7507760.014749257,731.0,A_HAm_cib
419,598102.029488733,7507979.98395901,697.0,A_HAm_cib
420,598739.0931184789,7507769.682637686,743.0,A_HAm_cib
421,599044.2823617287,7507731.440812422,743.0,A_HAm_cib
422,599131.0607738082,7507860.733974889,706.0,A_HAm_cib
423,598627.377390591,7508483.240187418,687.0,A_HAm_cib
424,597697.4950867215,7509301.865935223,684.0,A_HAm_cib
425,596973.84570676,7510419.086697357,673.0,A_HAm_cib
426,596203.7256173639,7510768.359271898,676.0,A_HAm_cib
427,595492.899896089,7511072.8222936345,716.0,A_HAm_cib
428,595173.3509854041,7511564.536489491,679.0,A_HAm_cib
429,595096.4098880033,7512866.118098801,689.0,A_HAm_cib
430,594802.934222852,7513741.748264889,677.0,A_HAm_cib
431,594327.7912288861,7514934.427300132,660.0,A_HAm_cib
432,593892.462214598,7516819.304758392,655.0,A_HAm_cib
433,593475.1776714273,7517184.268679722,657.0,A_HAm_cib
434,592581.1981286944,7517333.101439391,659.0,A_HAm_cib
